cusip,security_type,security_term,original_security_term,dated_date,maturity_date,int_rate,callable,original_issue_date,issue_date,auction_date
912810CK2,Bond,30-Year,30-Year,1979-11-15,2009-11-15,10.375,Yes,1979-11-15,1979-11-15,1979-11-01
912810CL0,Bond,15-Year 1-Month,15-Year 1-Month,1980-01-10,1995-02-15,10.5,No,1980-01-10,1980-01-10,1980-01-03
912810CM8,Bond,30-Year,30-Year,1980-02-15,2010-02-15,11.75,Yes,1980-02-15,1980-02-15,1980-02-07
912810CN6,Bond,15-Year 1-Month,15-Year 1-Month,1980-04-08,1995-05-15,12.625,No,1980-04-08,1980-04-08,1980-04-02
912810CP1,Bond,30-Year,30-Year,1980-05-15,2010-05-15,10.0,Yes,1980-05-15,1980-05-15,1980-05-08
912810CQ9,Bond,14-Year 10-Month,14-Year 10-Month,1980-07-09,1995-05-15,10.375,No,1980-07-09,1980-07-09,1980-07-02
912810CR7,Bond,15-Year 1-Month,15-Year 1-Month,1980-10-14,1995-11-15,11.5,No,1980-10-14,1980-10-14,1980-10-07
912810CS5,Bond,30-Year,30-Year,1980-11-17,2010-11-15,12.75,Yes,1980-11-17,1980-11-17,1980-11-07
912810CT3,Bond,20-Year 1-Month,20-Year 1-Month,1981-01-12,2001-02-15,11.75,No,1981-01-12,1981-01-12,1981-01-06
912810CU0,Bond,20-Year 1-Month,20-Year 1-Month,1981-04-02,2001-05-15,13.125,No,1981-04-02,1981-04-02,1981-03-26
912810CV8,Bond,30-Year,30-Year,1981-05-15,2011-05-15,13.875,Yes,1981-05-15,1981-05-15,1981-05-07
912810CW6,Bond,20-Year 1-Month,20-Year 1-Month,1981-07-02,2001-08-15,13.375,No,1981-07-02,1981-07-02,1981-06-25
912810CX4,Bond,20-Year 1-Month,20-Year 1-Month,1981-10-07,2001-11-15,15.75,No,1981-10-07,1981-10-07,1981-09-30
912810CY2,Bond,30-Year,30-Year,1981-11-16,2011-11-15,14.0,Yes,1981-11-16,1981-11-16,1981-11-05
912810CZ9,Bond,20-Year 1-Month,20-Year 1-Month,1982-01-06,2002-02-15,14.25,No,1982-01-06,1982-01-06,1981-12-30
912810DA3,Bond,20-Year 1-Month,20-Year 1-Month,1982-09-29,2002-11-15,11.625,No,1982-09-29,1982-09-29,1982-09-23
912810DB1,Bond,30-Year,30-Year,1982-11-15,2012-11-15,10.375,Yes,1982-11-15,1982-11-15,1982-11-09
