dealer_name,parent_holdco_name,permno,permco,gvkey,start_date,end_date,confidence,notes
ABN AMRO Inc.,,,,,1998-01-01,2007-12-31,foreign_excluded,foreign or non-listed
"Aubrey G. Lanston & Co., Inc.",,,,,1960-01-01,2000-12-31,foreign_excluded,foreign or non-listed
BMO Capital Markets Corp.,,,,,2011-01-01,2013-12-31,foreign_excluded,foreign or non-listed
BMO Nesbitt Burns Corp.,,,,,2002-01-01,2008-12-31,foreign_excluded,foreign or non-listed
BNP Paribas Securities Corp.,,,,,2000-01-01,2013-12-31,foreign_excluded,foreign or non-listed
BT Securities Corp.,BANKERS TRUST NEW YORK CORP,48354.0,20266.0,002029,1990-01-01,1999-12-31,medium,"comnam=BANKERS TRUST NY CORP, score=81"
Banc of America Securities LLC,BANK OF AMERICA CORP,59408.0,3151.0,007647,1998-01-01,2013-12-31,high,"comnam=N C N B CORP, score=100"
Bank of America N.T. & S.A.,BANKAMERICA CORP,58827.0,437.0,002024,1960-01-01,1998-12-31,high,"comnam=BANKAMERICA CORP, score=100"
"Bank of Nova Scotia, New York Agency",,,,,2011-01-01,2013-12-31,foreign_excluded,foreign or non-listed
"Bank of Tokyo Securities (USA), Inc.",,,,,1988-01-01,1996-12-31,foreign_excluded,foreign or non-listed
Bankers Trust Company,BANKERS TRUST NEW YORK CORP,48354.0,20266.0,002029,1960-01-01,1999-12-31,medium,"comnam=BANKERS TRUST NY CORP, score=81"
Barclays Capital Inc.,,,,,1998-01-01,2013-12-31,foreign_excluded,foreign or non-listed
"Bear, Stearns & Co., Inc.",BEAR STEARNS COMPANIES INC,68304.0,20282.0,011818,1985-01-01,2008-12-31,high,"comnam=BEAR STEARNS COMPANIES INC, score=100"
Bevill Bresler & Schulman Asset Management Corp.,,,,,1980-01-01,1986-12-31,foreign_excluded,foreign or non-listed
"Briggs, Schaedle & Co., Inc.",,,,,1960-01-01,1989-12-31,foreign_excluded,foreign or non-listed
"CRT Government Securities, Ltd.",,,,,1988-01-01,1996-12-31,foreign_excluded,foreign or non-listed
CS First Boston Corp.,,,,,1993-01-01,2006-12-31,foreign_excluded,foreign or non-listed
Cantor Fitzgerald & Co.,,,,,2006-01-01,2013-12-31,foreign_excluded,foreign or non-listed
"Carroll McEntee & McGinley, Incorporated",,,,,1980-01-01,1999-12-31,foreign_excluded,foreign or non-listed
